County,Cases,Percentage,Published_date,Source,3
Wicklow,710,2.8,,https://www.gov.ie/en/press-release/5095f-statement-from-the-national-public-health-emergency-team-saturday-18-july/,
Carlow,177,0.7,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Cavan,866,3.4,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Clare,369,1.4,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Cork,1554,6.1,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Donegal,471,1.8,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Dublin,12342,48,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Galway,489,1.9,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Kerry,316,1.2,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Kildare,1517,5.9,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Kilkenny,356,1.4,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Laois,265,1,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Leitrim,82,0.3,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Limerick,589,2.3,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Longford,287,1.1,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Louth,790,3.1,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Mayo,573,2.2,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Meath,817,3.2,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Monaghan,540,2.1,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Offaly,485,1.9,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Roscommon,346,1.4,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Sligo,148,0.6,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Tipperary,543,2.1,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Waterford,166,0.7,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Westmeath,676,2.6,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Wexford,223,0.9,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Wicklow,709,2.8,,https://www.gov.ie/en/press-release/fcfe8-statement-from-the-national-public-health-emergency-team-friday-17-july/,
Carlow,176,0.7,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Cavan,866,3.4,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Clare,369,1.4,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Cork,1550,6,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Donegal,469,1.8,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Dublin,12331,48,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Galway,489,1.9,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Kerry,316,1.2,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Kildare,1517,5.9,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Kilkenny,356,1.4,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Laois,265,1,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Leitrim,82,0.3,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Limerick,589,2.3,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Longford,287,1.1,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Louth,789,3.1,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Mayo,573,2.2,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Meath,817,3.2,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Monaghan,540,2.1,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Offaly,486,1.9,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Roscommon,346,1.4,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Sligo,148,0.6,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Tipperary,543,2.1,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Waterford,166,0.7,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Westmeath,676,2.6,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Wexford,222,0.9,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Wicklow,709,2.8,,https://www.gov.ie/en/press-release/d34e8-statement-from-the-national-public-health-emergency-team-thursday-16-july/,
Carlow,176,0.7,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Cavan,865,3.4,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Clare,369,1.4,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Cork,1550,6,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Donegal,468,1.8,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Dublin,12326,48,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Galway,489,1.9,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Kerry,316,1.2,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Kildare,1517,5.9,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Kilkenny,356,1.4,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Laois,265,1,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Leitrim,82,0.3,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Limerick,589,2.3,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Longford,287,1.1,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Louth,789,3.1,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Mayo,573,2.2,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Meath,817,3.2,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Monaghan,540,2.1,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Offaly,486,1.9,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Roscommon,346,1.4,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Sligo,148,0.6,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Tipperary,543,2.1,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Waterford,166,0.7,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Westmeath,676,2.6,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Wexford,221,0.9,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Wicklow,709,2.8,,https://www.gov.ie/en/press-release/4e2a1-statement-from-the-national-public-health-emergency-team-wednesday-15-july/,
Carlow,176,0.7,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Cavan,865,3.4,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Clare,369,1.4,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Cork,1548,6,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Donegal,468,1.8,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Dublin,12312,48,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Galway,489,1.9,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Kerry,314,1.2,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Kildare,1514,5.9,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Kilkenny,356,1.4,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Laois,265,1,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Leitrim,82,0.3,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Limerick,589,2.3,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Longford,287,1.1,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Louth,787,3.1,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Mayo,573,2.2,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Meath,812,3.2,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Monaghan,539,2.1,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Offaly,486,1.9,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Roscommon,346,1.4,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Sligo,148,0.6,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Tipperary,543,2.1,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Waterford,165,0.6,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Westmeath,676,2.6,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Wexford,221,0.9,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Wicklow,708,2.8,,https://www.gov.ie/en/press-release/bb82b-statement-from-the-national-public-health-emergency-team-tuesday-14-july/,
Carlow,176,0.7,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Cavan,865,3.4,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Clare,369,1.4,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Cork,1546,6,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Donegal,468,1.8,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Dublin,12308,48,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Galway,489,1.9,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Kerry,311,1.2,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Kildare,1513,5.9,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Kilkenny,356,1.4,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Laois,265,1,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Leitrim,82,0.3,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Limerick,589,2.3,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Longford,287,1.1,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Louth,787,3.1,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Mayo,573,2.2,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Meath,812,3.2,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Monaghan,539,2.1,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Offaly,486,1.9,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Roscommon,346,1.4,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Sligo,148,0.6,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Tipperary,543,2.1,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Waterford,165,0.6,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Westmeath,676,2.6,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Wexford,221,0.9,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Wicklow,707,2.8,,https://www.gov.ie/en/press-release/e3180-statement-from-the-national-public-health-emergency-team-monday-13-july/,
Carlow,176,0.7,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Cavan,866,3.4,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Clare,369,1.4,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Cork,1545,6,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Donegal,468,1.8,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Dublin,12294,48,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Galway,489,1.9,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Kerry,311,1.2,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Kildare,1513,5.9,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Kilkenny,356,1.4,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Laois,265,1,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Leitrim,82,0.3,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Limerick,589,2.3,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Longford,287,1.1,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Louth,787,3.1,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Mayo,573,2.2,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Meath,812,3.2,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Monaghan,539,2.1,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Offaly,486,1.9,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Roscommon,346,1.4,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Sligo,148,0.6,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Tipperary,543,2.1,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Waterford,165,0.6,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Westmeath,676,2.6,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Wexford,221,0.9,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Wicklow,705,2.8,,https://www.gov.ie/en/press-release/5eada-statement-from-the-national-public-health-emergency-team-sunday-12-july/,
Carlow,176,0.7,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Cavan,865,3.4,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Clare,368,1.4,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Cork,1545,6,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Donegal,468,1.8,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Dublin,12287,48,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Galway,490,1.9,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Kerry,311,1.2,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Kildare,1506,5.9,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Kilkenny,356,1.4,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Laois,265,1,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Leitrim,82,0.3,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Limerick,589,2.3,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Longford,287,1.1,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Louth,785,3.1,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Mayo,573,2.2,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Meath,812,3.2,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Monaghan,539,2.1,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Offaly,486,1.9,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Roscommon,346,1.4,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Sligo,148,0.6,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Tipperary,543,2.1,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Waterford,165,0.6,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Westmeath,676,2.6,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Wexford,218,0.9,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Wicklow,702,2.7,,https://www.gov.ie/en/press-release/4d140-statement-from-the-national-public-health-emergency-team-saturday-11-july/,
Carlow,175,0.7,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Cavan,865,3.4,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Clare,368,1.4,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Cork,1545,6,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Donegal,468,1.8,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Dublin,12275,48,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Galway,486,1.9,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Kerry,310,1.2,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Kildare,1503,5.9,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Kilkenny,356,1.4,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Laois,265,1,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Leitrim,82,0.3,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Limerick,589,2.3,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Longford,287,1.1,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Louth,785,3.1,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Mayo,573,2.2,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Meath,812,3.2,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Monaghan,539,2.1,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Offaly,486,1.9,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Roscommon,346,1.4,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Sligo,147,0.6,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Tipperary,543,2.1,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Waterford,165,0.7,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Westmeath,676,2.6,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Wexford,218,0.9,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Wicklow,700,2.7,,https://www.gov.ie/en/press-release/6812a-statement-from-the-national-public-health-emergency-team-friday-10-july/,
Carlow,175,0.7,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Cavan,865,3.4,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Clare,368,1.4,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Cork,1545,6.1,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Donegal,467,1.8,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Dublin,12266,48,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Galway,487,1.9,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Kerry,310,1.2,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Kildare,1500,5.9,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Kilkenny,356,1.4,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Laois,265,1,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Leitrim,82,0.3,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Limerick,588,2.3,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Longford,287,1.1,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Louth,785,3.1,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Mayo,572,2.2,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
Meath,812,3.2,,https://www.gov.ie/en/press-release/8f1f2-statement-from-the-national-public-health-emergency-team-thursday-9-july/,
